vm_id,cluster_id,cluster_vm_count,current_size,cpu_cores,ram_gb,monthly_cost_usd,avg_cpu_usage_percent,avg_ram_usage_percent,cluster_avg_cpu_percent,cluster_avg_ram_percent
vm-100000,cluster-40,78,Standard_B2s,2,4,22.11,26.72,14.23,29.16679487,30.12717949
vm-100001,cluster-7,98,Standard_L8s,8,64,808.81,22.47,29.9,30.36265306,31.53826531
vm-100002,cluster-32,86,Standard_B4ms,4,16,81.3,16.45,12.66,28.06523256,30.29674419
vm-100003,cluster-48,103,Standard_E2s_v3,2,16,119.77,22.43,19.27,30.88825243,34.43262136
vm-100004,cluster-19,106,Standard_B1s,1,1,8.23,47.48,53.74,33.03849057,36.94792453
vm-100005,cluster-6,94,Standard_B1s,1,1,7.81,35.54,70.6,31.27457447,33.8856383
vm-100006,cluster-20,87,Standard_B1s,1,1,8.15,48.71,52.45,29.1954023,31.26563218
vm-100007,cluster-27,85,Standard_F8s_v2,8,16,217.91,14.51,14.64,31.456,34.09611765
vm-100008,cluster-43,99,Standard_E2s_v3,2,16,123.42,20.06,10.41,28.22444444,31.18787879
vm-100009,cluster-37,101,Standard_DS3_v2,4,8,126.14,14.93,29.9,30.84445545,32.48534653
vm-100010,cluster-48,103,Standard_B1s,1,1,7.92,19.96,4.36,30.88825243,34.43262136
vm-100011,cluster-7,98,Standard_M8ms,8,192,1477.79,17,12.24,30.36265306,31.53826531
vm-100012,cluster-5,100,Standard_E4s_v3,4,32,202.76,26.3,9.84,27.0222,31.858
vm-100013,cluster-11,98,Standard_D1s_v3,1,3,39.66,29.9,16.13,30.00326531,31.15336735
vm-100014,cluster-15,99,Standard_D1s_v3,1,3,39.74,16.05,20.82,30.97131313,33.51333333
vm-100015,cluster-3,100,Standard_D1s_v3,1,3,40.52,22.22,24.63,29.0927,33.2273
vm-100016,cluster-5,100,Standard_D1s_v3,1,3,41.19,13.44,13.91,27.0222,31.858
vm-100017,cluster-23,107,Standard_D2s_v3,2,8,68.78,15.34,13.47,29.45766355,30.96635514
vm-100018,cluster-37,101,Standard_F2s_v2,2,4,61.45,30,44.99,30.84445545,32.48534653
vm-100019,cluster-9,107,Standard_D1s_v3,1,3,40.23,17.76,19.3,28.79214953,31.77672897
vm-100020,cluster-15,99,Standard_E2s_v3,2,16,122.27,39.44,80,30.97131313,33.51333333
vm-100021,cluster-3,100,Standard_B1s,1,1,8.19,31.61,49.76,29.0927,33.2273
vm-100022,cluster-29,108,Standard_D1s_v3,1,3,38.88,10.92,23.59,29.33583333,30.73490741
vm-100023,cluster-6,94,Standard_B2s,2,4,21.58,20.18,11.79,31.27457447,33.8856383
vm-100024,cluster-17,106,Standard_F2s_v2,2,4,61.07,84.74,85.63,32.69113208,34.37858491
vm-100025,cluster-26,115,Standard_D4s_v3,4,16,139.56,22.86,22.41,31.49956522,33.43756522
vm-100026,cluster-21,95,Standard_D1s_v3,1,3,39.02,28.04,17.46,29.69989474,31.52484211
vm-100027,cluster-8,92,Standard_D2s_v3,2,8,71.39,26.78,20.62,30.88869565,34.98445652
vm-100028,cluster-21,95,Standard_E2s_v3,2,16,117.9,45.7,52,29.69989474,31.52484211
vm-100029,cluster-11,98,Standard_B1s,1,1,8.01,17.88,16.78,30.00326531,31.15336735
vm-100030,cluster-38,99,Standard_E2s_v3,2,16,120.62,39.04,44.84,34.45858586,37.30060606
vm-100031,cluster-8,92,Standard_D1s_v3,1,3,40.28,53.93,59.82,30.88869565,34.98445652
vm-100032,cluster-42,115,Standard_B1s,1,1,7.8,16.74,25.22,31.29747826,33.29347826
vm-100033,cluster-24,102,Standard_L8s,8,64,810.16,82.45,70,33.89843137,37.58088235
vm-100034,cluster-35,92,Standard_M8ms,8,192,1518.38,22.51,11.36,30.91619565,31.5298913
vm-100035,cluster-14,84,Standard_D4s_v3,4,16,136.73,24.25,21.04,30.01452381,33.89202381
vm-100036,cluster-14,84,Standard_D1s_v3,1,3,39.1,41.67,31.16,30.01452381,33.89202381
vm-100037,cluster-10,114,Standard_B1s,1,1,7.9,4.05,29.9,28.53166667,32.41350877
vm-100038,cluster-12,107,Standard_F4s_v2,4,8,110.71,39.09,35.19,28.98738318,31.40728972
vm-100039,cluster-38,99,Standard_F2s_v2,2,4,58.65,9.67,22.14,34.45858586,37.30060606
vm-100040,cluster-44,93,Standard_B1s,1,1,7.81,52.42,55.76,29.77021505,34.46806452
vm-100041,cluster-46,84,Standard_D2s_v3,2,8,71.4,21.64,19.43,29.13321429,31.1272619
vm-100042,cluster-34,89,Standard_B1s,1,1,8.16,29.22,19.5,32.59314607,34.07651685
vm-100043,cluster-41,98,Standard_D8s_v3,8,32,279.5,23.43,17.6,27.47755102,29.77244898
vm-100044,cluster-10,114,Standard_D1s_v3,1,3,38.82,15.13,28.14,28.53166667,32.41350877
vm-100045,cluster-17,106,Standard_F4s_v2,4,8,111,28.21,27.22,32.69113208,34.37858491
vm-100046,cluster-17,106,Standard_D1s_v3,1,3,39.94,13.03,19.34,32.69113208,34.37858491
vm-100047,cluster-3,100,Standard_D2s_v3,2,8,70.16,24.31,29.9,29.0927,33.2273
vm-100048,cluster-31,111,Standard_D2s_v3,2,8,69.06,5.06,17.76,33.35711712,35.1618018
vm-100049,cluster-1,98,Standard_D1s_v3,1,3,39.62,9.29,20.01,29.765,34.26387755
vm-100050,cluster-12,107,Standard_M8ms,8,192,1461,24,6.14,28.98738318,31.40728972
vm-100051,cluster-39,113,Standard_D4s_v3,4,16,141.43,19.64,29.9,28.6359292,30.87619469
vm-100052,cluster-4,102,Standard_L8s,8,64,798.58,10.62,28.21,28.31901961,30.97411765
vm-100053,cluster-42,115,Standard_D8s_v3,8,32,276.23,70,88.11,31.29747826,33.29347826
vm-100054,cluster-13,119,Standard_E2s_v3,2,16,118.68,14.48,29.3,30.93142857,33.1905042
vm-100055,cluster-34,89,Standard_E8s_v3,8,64,396.55,19.22,21.41,32.59314607,34.07651685
vm-100056,cluster-42,115,Standard_B1s,1,1,7.96,19.87,22.03,31.29747826,33.29347826
vm-100057,cluster-21,95,Standard_D1s_v3,1,3,41.19,30,54.76,29.69989474,31.52484211
vm-100058,cluster-22,97,Standard_B1s,1,1,8.22,23.14,26.12,29.02226804,31.79835052
vm-100059,cluster-4,102,Standard_B2s,2,4,21.56,15.66,25.7,28.31901961,30.97411765
vm-100060,cluster-18,114,Standard_B2s,2,4,21.96,72.5,90.33,29.90236842,30.61052632
vm-100061,cluster-5,100,Standard_D1s_v3,1,3,39.81,23.25,21.92,27.0222,31.858
vm-100062,cluster-19,106,Standard_E4s_v3,4,32,202.38,13.05,26.92,33.03849057,36.94792453
vm-100063,cluster-2,111,Standard_B2s,2,4,21.59,30,48.58,32.70495495,34.45828829
vm-100064,cluster-12,107,Standard_D1s_v3,1,3,40.41,59.68,36.61,28.98738318,31.40728972
vm-100065,cluster-17,106,Standard_D2s_v3,2,8,68.12,46.27,47.26,32.69113208,34.37858491
vm-100066,cluster-10,114,Standard_B1s,1,1,8.04,6.32,22.39,28.53166667,32.41350877
vm-100067,cluster-34,89,Standard_D4s_v3,4,16,138.14,10.49,13.67,32.59314607,34.07651685
vm-100068,cluster-6,94,Standard_B1s,1,1,8.11,19.91,26.35,31.27457447,33.8856383
vm-100069,cluster-8,92,Standard_M16ms,16,384,3061.81,12.39,25.07,30.88869565,34.98445652
vm-100070,cluster-11,98,Standard_D4s_v3,4,16,141.56,22.58,13.61,30.00326531,31.15336735
vm-100071,cluster-12,107,Standard_D1s_v3,1,3,40.33,79.62,91.6,28.98738318,31.40728972
vm-100072,cluster-9,107,Standard_B1s,1,1,8.22,55.91,30,28.79214953,31.77672897
vm-100073,cluster-2,111,Standard_E4s_v3,4,32,202.13,19.83,23.85,32.70495495,34.45828829
vm-100074,cluster-8,92,Standard_DS3_v2,4,8,127.31,63.06,51.81,30.88869565,34.98445652
vm-100075,cluster-11,98,Standard_DS3_v2,4,8,126.96,16.41,1,30.00326531,31.15336735
vm-100076,cluster-36,96,Standard_B4ms,4,16,77.77,30,38.48,31.16125,32.08541667
vm-100077,cluster-10,114,Standard_B1s,1,1,7.77,20.7,15.76,28.53166667,32.41350877
vm-100078,cluster-21,95,Standard_B2s,2,4,22.58,18.63,20.54,29.69989474,31.52484211
vm-100079,cluster-20,87,Standard_B1s,1,1,7.92,15.16,25.61,29.1954023,31.26563218
vm-100080,cluster-48,103,Standard_F8s_v2,8,16,213.69,10.41,18.23,30.88825243,34.43262136
vm-100081,cluster-8,92,Standard_E2s_v3,2,16,120.78,19.1,28.57,30.88869565,34.98445652
vm-100082,cluster-36,96,Standard_B2s,2,4,22.25,19.5,24.43,31.16125,32.08541667
vm-100083,cluster-29,108,Standard_B1s,1,1,7.93,41.03,53.71,29.33583333,30.73490741
vm-100084,cluster-42,115,Standard_D1s_v3,1,3,40.86,17.12,28.03,31.29747826,33.29347826
vm-100085,cluster-12,107,Standard_B2s,2,4,21.69,14.5,1,28.98738318,31.40728972
vm-100086,cluster-14,84,Standard_DS3_v2,4,8,129.92,70,79.38,30.01452381,33.89202381
vm-100087,cluster-48,103,Standard_E2s_v3,2,16,117.18,22.26,28.87,30.88825243,34.43262136
vm-100088,cluster-50,99,Standard_DS4_v2,8,16,260.47,29.9,19.03,30.89232323,34.41474747
vm-100089,cluster-21,95,Standard_F2s_v2,2,4,61.69,29.08,8.75,29.69989474,31.52484211
vm-100090,cluster-22,97,Standard_B1s,1,1,7.96,16.47,13.54,29.02226804,31.79835052
vm-100091,cluster-21,95,Standard_DS3_v2,4,8,127.48,10.04,22.01,29.69989474,31.52484211
