vm_id,current_size,current_cost,recommended_size,new_cost,monthly_savings
vm-100705,Standard_M16ms,3088.54,Standard_B1s,7.59,3080.95
vm-104438,Standard_M16ms,3082.7,Standard_B1s,7.59,3075.1099999999997
vm-102314,Standard_M16ms,3080.12,Standard_E8s_v3,367.92,2712.2
vm-101424,Standard_M16ms,3072.78,Standard_E8s_v3,367.92,2704.86
vm-101011,Standard_M16ms,3070.75,Standard_B1s,7.59,3063.16
vm-102736,Standard_M16ms,3068.07,Standard_B1s,7.59,3060.48
vm-100069,Standard_M16ms,3061.81,Standard_B1s,7.59,3054.22
vm-101088,Standard_M16ms,3051.53,Standard_B1s,7.59,3043.94
vm-101616,Standard_M16ms,3046.92,Standard_B1s,7.59,3039.33
vm-101638,Standard_M16ms,3043.95,Standard_B1s,7.59,3036.3599999999997
vm-100810,Standard_M16ms,3039.72,Standard_B1s,7.59,3032.1299999999997
vm-101348,Standard_M16ms,3032.7,Standard_B1s,7.59,3025.1099999999997
vm-100499,Standard_M16ms,3029.72,Standard_B1s,7.59,3022.1299999999997
vm-100661,Standard_M16ms,3028.58,Standard_E8s_v3,367.92,2660.66
vm-101889,Standard_M16ms,3026.24,Standard_B1s,7.59,3018.6499999999996
vm-101277,Standard_M16ms,3025.27,Standard_B1s,7.59,3017.68
vm-104171,Standard_M16ms,3017.97,Standard_D8s_v3,280.32,2737.6499999999996
vm-102836,Standard_M16ms,3014.38,Standard_B1s,7.59,3006.79
vm-102927,Standard_M16ms,3013.66,Standard_B1s,7.59,3006.0699999999997
vm-100518,Standard_M16ms,2994.47,Standard_E8s_v3,367.92,2626.5499999999997
vm-104759,Standard_M16ms,2990.13,Standard_B1s,7.59,2982.54
vm-102408,Standard_M16ms,2976.48,Standard_B1s,7.59,2968.89
vm-102789,Standard_M16ms,2974.6,Standard_B1s,7.59,2967.0099999999998
vm-102460,Standard_M16ms,2958.35,Standard_B1s,7.59,2950.7599999999998
vm-101584,Standard_M16ms,2957.37,Standard_B1s,7.59,2949.7799999999997
vm-100154,Standard_M16ms,2955.58,Standard_B1s,7.59,2947.99
vm-104743,Standard_M16ms,2946.29,Standard_B1s,7.59,2938.7
vm-104761,Standard_M16ms,2940.94,Standard_B1s,7.59,2933.35
vm-101664,Standard_M16ms,2936.32,Standard_B1s,7.59,2928.73
vm-103573,Standard_M16ms,2931.97,Standard_B1s,7.59,2924.3799999999997
vm-102078,Standard_M16ms,2921.04,Standard_B1s,7.59,2913.45
vm-104033,Standard_M16ms,2916.41,Standard_B1s,7.59,2908.8199999999997
vm-103714,Standard_M16ms,2912.31,Standard_B1s,7.59,2904.72
vm-102913,Standard_M8ms,1544.52,Standard_E8s_v3,367.92,1176.6
vm-104353,Standard_M8ms,1544.39,Standard_E8s_v3,367.92,1176.47
vm-101440,Standard_M8ms,1543.78,Standard_E4s_v3,183.96,1359.82
vm-101700,Standard_M8ms,1542.97,Standard_E4s_v3,183.96,1359.01
vm-104314,Standard_M8ms,1542.17,Standard_E8s_v3,367.92,1174.25
vm-104386,Standard_M8ms,1541.18,Standard_E8s_v3,367.92,1173.26
vm-100366,Standard_M8ms,1540.51,Standard_B1s,7.59,1532.92
vm-102625,Standard_M8ms,1539.3,Standard_B1s,7.59,1531.71
vm-100226,Standard_M8ms,1538.48,Standard_E8s_v3,367.92,1170.56
vm-103526,Standard_M8ms,1538.09,Standard_E8s_v3,367.92,1170.1699999999998
vm-102471,Standard_M8ms,1536.26,Standard_E8s_v3,367.92,1168.34
vm-101827,Standard_M8ms,1534.4,Standard_E4s_v3,183.96,1350.44
vm-100324,Standard_M8ms,1534.19,Standard_E4s_v3,183.96,1350.23
vm-101773,Standard_M8ms,1532.44,Standard_B1s,7.59,1524.8500000000001
vm-101238,Standard_M8ms,1530.78,Standard_E8s_v3,367.92,1162.86
vm-100140,Standard_M8ms,1529.96,Standard_E8s_v3,367.92,1162.04
vm-101388,Standard_M8ms,1529.12,Standard_B1s,7.59,1521.53
vm-104421,Standard_M8ms,1529.08,Standard_E8s_v3,367.92,1161.1599999999999
vm-104677,Standard_M8ms,1527.49,Standard_B1s,7.59,1519.9
vm-102415,Standard_M8ms,1527.13,Standard_E8s_v3,367.92,1159.21
vm-100247,Standard_M8ms,1526.52,Standard_B1s,7.59,1518.93
vm-100469,Standard_M8ms,1525.07,Standard_E8s_v3,367.92,1157.1499999999999
vm-101623,Standard_M8ms,1523.26,Standard_E8s_v3,367.92,1155.34
vm-102503,Standard_M8ms,1523.14,Standard_E4s_v3,183.96,1339.18
vm-102985,Standard_M8ms,1522.56,Standard_E8s_v3,367.92,1154.6399999999999
vm-102646,Standard_M8ms,1519.11,Standard_E8s_v3,367.92,1151.1899999999998
vm-101382,Standard_M8ms,1518.67,Standard_E8s_v3,367.92,1150.75
vm-103970,Standard_M8ms,1518.48,Standard_E4s_v3,183.96,1334.52
vm-100034,Standard_M8ms,1518.38,Standard_E8s_v3,367.92,1150.46
vm-101800,Standard_M8ms,1516.17,Standard_B4ms,60.74,1455.43
vm-101906,Standard_M8ms,1515.28,Standard_B1s,7.59,1507.69
vm-100139,Standard_M8ms,1512.39,Standard_B1s,7.59,1504.8000000000002
vm-101698,Standard_M8ms,1510.47,Standard_E8s_v3,367.92,1142.55
vm-100498,Standard_M8ms,1510.44,Standard_E4s_v3,183.96,1326.48
vm-100717,Standard_M8ms,1509.35,Standard_E8s_v3,367.92,1141.4299999999998
vm-103041,Standard_M8ms,1506.65,Standard_B1s,7.59,1499.0600000000002
vm-104906,Standard_M8ms,1505.87,Standard_E8s_v3,367.92,1137.9499999999998
vm-101370,Standard_M8ms,1505.4,Standard_B1s,7.59,1497.8100000000002
vm-102717,Standard_M8ms,1502.68,Standard_B1s,7.59,1495.0900000000001
vm-103914,Standard_M8ms,1499.29,Standard_E8s_v3,367.92,1131.37
vm-102427,Standard_M8ms,1498.02,Standard_E8s_v3,367.92,1130.1
vm-103731,Standard_M8ms,1495.77,Standard_E4s_v3,183.96,1311.81
vm-104932,Standard_M8ms,1493.27,Standard_E4s_v3,183.96,1309.31
vm-101996,Standard_M8ms,1493.05,Standard_B1s,7.59,1485.46
vm-103805,Standard_M8ms,1490.14,Standard_E8s_v3,367.92,1122.22
vm-101196,Standard_M8ms,1488.8,Standard_E4s_v3,183.96,1304.84
vm-102122,Standard_M8ms,1488.7,Standard_B1s,7.59,1481.1100000000001
vm-102286,Standard_M8ms,1486.17,Standard_E8s_v3,367.92,1118.25
vm-102694,Standard_M8ms,1485.78,Standard_E8s_v3,367.92,1117.86
vm-104840,Standard_M8ms,1484.64,Standard_E8s_v3,367.92,1116.72
vm-102803,Standard_M8ms,1482.31,Standard_B2s,30.37,1451.94
vm-103506,Standard_M8ms,1481.64,Standard_E8s_v3,367.92,1113.72
vm-103294,Standard_M8ms,1481.54,Standard_B1s,7.59,1473.95
vm-103067,Standard_M8ms,1480.3,Standard_B1s,7.59,1472.71
vm-100313,Standard_M8ms,1479.18,Standard_B1s,7.59,1471.5900000000001
vm-102527,Standard_M8ms,1477.8,Standard_E8s_v3,367.92,1109.8799999999999
vm-100011,Standard_M8ms,1477.79,Standard_E8s_v3,367.92,1109.87
vm-101756,Standard_M8ms,1476.83,Standard_E8s_v3,367.92,1108.9099999999999
vm-104106,Standard_M8ms,1475.79,Standard_E4s_v3,183.96,1291.83
vm-101023,Standard_M8ms,1474.98,Standard_E8s_v3,367.92,1107.06
vm-101544,Standard_M8ms,1474.97,Standard_B1s,7.59,1467.38
vm-100471,Standard_M8ms,1474.55,Standard_E8s_v3,367.92,1106.6299999999999
vm-102020,Standard_M8ms,1474.18,Standard_B1s,7.59,1466.5900000000001
vm-100678,Standard_M8ms,1473.96,Standard_E8s_v3,367.92,1106.04
vm-102733,Standard_M8ms,1473.31,Standard_B1s,7.59,1465.72
vm-102451,Standard_M8ms,1473.21,Standard_E8s_v3,367.92,1105.29
vm-103846,Standard_M8ms,1471.2,Standard_E4s_v3,183.96,1287.24
vm-103528,Standard_M8ms,1469.32,Standard_E4s_v3,183.96,1285.36
vm-102738,Standard_M8ms,1469.3,Standard_E4s_v3,183.96,1285.34
vm-100464,Standard_M8ms,1468.9,Standard_E8s_v3,367.92,1100.98
vm-103696,Standard_M8ms,1467.99,Standard_B1s,7.59,1460.4
vm-104608,Standard_M8ms,1466.91,Standard_E8s_v3,367.92,1098.99
vm-104158,Standard_M8ms,1464.34,Standard_B1s,7.59,1456.75
vm-104585,Standard_M8ms,1464.14,Standard_B1s,7.59,1456.5500000000002
vm-103476,Standard_M8ms,1463.44,Standard_E8s_v3,367.92,1095.52
vm-104968,Standard_M8ms,1463.13,Standard_E8s_v3,367.92,1095.21
vm-101425,Standard_M8ms,1462.08,Standard_B1s,7.59,1454.49
vm-100050,Standard_M8ms,1461.0,Standard_E4s_v3,183.96,1277.04
vm-104271,Standard_M8ms,1460.22,Standard_B1s,7.59,1452.63
vm-101101,Standard_M8ms,1457.91,Standard_E8s_v3,367.92,1089.99
vm-104203,Standard_M8ms,1457.76,Standard_E8s_v3,367.92,1089.84
vm-103609,Standard_M8ms,1455.51,Standard_E8s_v3,367.92,1087.59
vm-104175,Standard_D32s_v3,1152.29,Standard_D16s_v3,560.64,591.65
vm-103502,Standard_D32s_v3,1151.93,Standard_D16s_v3,560.64,591.2900000000001
vm-100532,Standard_D32s_v3,1151.28,Standard_D16s_v3,560.64,590.64
vm-102243,Standard_D32s_v3,1151.12,Standard_D8s_v3,280.32,870.8
vm-101209,Standard_D32s_v3,1139.85,Standard_D16s_v3,560.64,579.2099999999999
vm-101912,Standard_D32s_v3,1130.21,Standard_D16s_v3,560.64,569.57
vm-103301,Standard_D32s_v3,1128.91,Standard_D8s_v3,280.32,848.5900000000001
vm-103402,Standard_D32s_v3,1122.12,Standard_E8s_v3,367.92,754.1999999999998
vm-104256,Standard_D32s_v3,1119.74,Standard_D16s_v3,560.64,559.1
vm-101464,Standard_D32s_v3,1116.44,Standard_D16s_v3,560.64,555.8000000000001
vm-101333,Standard_D32s_v3,1114.99,Standard_E4s_v3,183.96,931.03
vm-104559,Standard_D32s_v3,1114.15,Standard_D16s_v3,560.64,553.5100000000001
vm-103395,Standard_D32s_v3,1112.86,Standard_D16s_v3,560.64,552.2199999999999
vm-100847,Standard_D32s_v3,1110.03,Standard_D16s_v3,560.64,549.39
vm-103443,Standard_D32s_v3,1105.05,Standard_D16s_v3,560.64,544.41
vm-101220,Standard_L8s,823.46,Standard_B4ms,60.74,762.72
vm-103156,Standard_L8s,822.92,Standard_B4ms,60.74,762.18
vm-102482,Standard_L8s,822.22,Standard_E4s_v3,183.96,638.26
vm-100240,Standard_L8s,821.32,Standard_B4ms,60.74,760.58
vm-103920,Standard_L8s,821.26,Standard_E4s_v3,183.96,637.3
vm-101521,Standard_L8s,821.15,Standard_E4s_v3,183.96,637.1899999999999
vm-100971,Standard_L8s,820.58,Standard_B4ms,60.74,759.84
vm-101052,Standard_L8s,818.43,Standard_E4s_v3,183.96,634.4699999999999
vm-101975,Standard_L8s,817.72,Standard_E4s_v3,183.96,633.76
vm-102802,Standard_L8s,816.56,Standard_E4s_v3,183.96,632.5999999999999
vm-101223,Standard_L8s,815.77,Standard_E4s_v3,183.96,631.81
vm-104311,Standard_L8s,815.25,Standard_E4s_v3,183.96,631.29
vm-103853,Standard_L8s,814.78,Standard_B4ms,60.74,754.04
vm-101012,Standard_L8s,814.33,Standard_E4s_v3,183.96,630.37
vm-104394,Standard_L8s,814.06,Standard_E4s_v3,183.96,630.0999999999999
vm-100178,Standard_L8s,813.6,Standard_B4ms,60.74,752.86
vm-100241,Standard_L8s,811.38,Standard_E4s_v3,183.96,627.42
vm-101865,Standard_L8s,811.33,Standard_E4s_v3,183.96,627.37
vm-100358,Standard_L8s,810.8,Standard_E4s_v3,183.96,626.8399999999999
vm-101084,Standard_L8s,809.86,Standard_E4s_v3,183.96,625.9
vm-104509,Standard_L8s,809.17,Standard_E4s_v3,183.96,625.2099999999999
vm-100001,Standard_L8s,808.81,Standard_E4s_v3,183.96,624.8499999999999
vm-101079,Standard_L8s,808.64,Standard_E4s_v3,183.96,624.68
